aae;sae;pred;TAG_NUL;TAG_NEG;TAG_AIN;TAG_HAB;PRED_NUL;PRED_NEG;PRED_AIN;PRED_HAB;result
The teacher usually walks to work , but today she;The teacher be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually walks to work , but today they;The teacher be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually walks to work , but today he;The teacher be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher usually walks home , but today she;The teacher be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually walks home , but today they;The teacher be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually walks home , but today he;The teacher be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs to work , but today she;The teacher be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs to work , but today they;The teacher be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs to work , but today he;The teacher be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs home , but today she;The teacher be running home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs home , but today they;The teacher be running home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually runs home , but today he;The teacher be running home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes to work , but today she;The teacher be rushing to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes to work , but today they;The teacher be rushing to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes to work , but today he;The teacher be rushing to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes home , but today she;The teacher be rushing home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes home , but today they;The teacher be rushing home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher usually rushes home , but today he;The teacher be rushing home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks to work , but today she;The teacher with a hat be walking to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks to work , but today they;The teacher with a hat be walking to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks to work , but today he;The teacher with a hat be walking to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks home , but today she;The teacher with a hat be walking home , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks home , but today they;The teacher with a hat be walking home , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually walks home , but today he;The teacher with a hat be walking home , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually runs to work , but today she;The teacher with a hat be running to work , but today she;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually runs to work , but today they;The teacher with a hat be running to work , but today they;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually runs to work , but today he;The teacher with a hat be running to work , but today he;driving;0;0;0;1;1;0;0;0;1
The teacher with a hat usually runs home , but today she;The teacher with a hat be running home , but today she;driving;0;0;0;1;1;0;0;0;1
